,Kaina,Markė,Modelis,Metai,Kuro tipas,Kėbulo tipas,Pavarų dėžė,Variklis,Rida
0,14 399 €,Renault,Master,2015-07,Dyzelinas,Krovininis mikroautobusas,Mechaninė,"2.3 l., 92 kW",149 452 km
1,11 100 €,Mercedes-Benz,ML350,2007-01,Benzinas,Visureigis,Automatinė,"3.5 l., 200 kW",177 735 km
2,15 990 €,Volkswagen,Passat,2017-09,Dyzelinas,Sedanas,Automatinė,"1.6 l., 88 kW",171 677 km
3,24 999 €,Audi,Q5,2016-10,Dyzelinas,Visureigis,Automatinė,"3.0 l., 190 kW",65 358 km
4,28 000 €,Toyota,Proace,2019-12,Dyzelinas,Vienatūris,Mechaninė,"1.5 l., 88 kW",87 000 km
5,44 000 €,BMW,X6 M,2016-06,Benzinas,Visureigis,Automatinė,"4.4 l., 423 kW",138 000 km
6,12 250 €,Mercedes-Benz,SL500,1991,Benzinas,Kabrioletas,Automatinė,"5.0 l., 240 kW",156 942 km
7,13 900 €,Volvo,XC60,2014-12,Dyzelinas,Visureigis,Automatinė,"2.0 l., 133 kW",292 000 km
8,18 500 €,Skoda,Octavia Scout,2017-11,Dyzelinas,Universalas,Automatinė,"2.0 l., 135 kW",142 000 km
9,19 890 €,Peugeot,3008,2018-11,Dyzelinas,Visureigis,Automatinė,"1.5 l., 96 kW",160 000 km
10,23 000 €,Audi,S4,2013-11,Benzinas,Sedanas,Automatinė,"3.0 l., 245 kW",68 000 km
11,2 500 €,Mercedes-Benz,CLK240,2003,Benzinas,Kupė (Coupe),Automatinė,"2.6 l., 125 kW",210 000 km
12,3 600 €,BMW,320,2008-10,Dyzelinas,Universalas,Mechaninė,"2.0 l., 105 kW",250 000 km
13,4 400 €,BMW,330,2007,Dyzelinas,Sedanas,Automatinė,"3.0 l., 170 kW",450 000 km
14,7 000 €,Audi,A4,2008-07,Benzinas,Universalas,Automatinė,"1.8 l., 118 kW",279 000 km
15,15 200 €,BMW,740,2013-12,Benzinas,Sedanas,Automatinė,"3.0 l., 235 kW",168 000 km
16,15 490 €,Audi,A3,2018-03,Dyzelinas,Hečbekas,Mechaninė,"1.6 l., 85 kW",94 986 km
17,175 000 €,Mercedes-Benz,GLS63 AMG,2021-11,Benzinas / elektra,Visureigis,Automatinė,"4.0 l., 450 kW",36 000 km
18,1 200 €,Volkswagen,Passat,2006-12,Dyzelinas,Universalas,Mechaninė,"2.0 l., 103 kW",Panevėžys
19,4 100 €,Audi,A4,2006,Dyzelinas,Universalas,Mechaninė,"2.0 l., 103 kW",312 000 km
20,4 350 €,BMW,330,2006-08,Dyzelinas,Sedanas,Automatinė,"3.0 l., 170 kW",298 000 km
21,4 490 €,Audi,A6,2008-12,Benzinas,Universalas,Mechaninė,"2.0 l., 125 kW",270 000 km
22,7 600 €,BMW,X5,2007,Benzinas,Visureigis,Automatinė,"3.0 l., 200 kW",250 000 km
23,7 800 €,Volkswagen,Caddy,2016-09,Dyzelinas,Kita,Mechaninė,"2.0 l., 75 kW",155 000 km
24,8 250 €,Opel,Mokka X,2013-07,Benzinas / dujos,Hečbekas,Mechaninė,"1.4 l., 103 kW",272 000 km
25,8 849 €,Volkswagen,Golf,2013-01,Benzinas,Hečbekas,Mechaninė,"1.4 l., 103 kW",178 088 km
26,9 700 €,BMW,X5,2008-12,Dyzelinas,Visureigis,Automatinė,"3.0 l., 210 kW",289 547 km
27,11 950 €,Opel,Ampera,2013-08,Benzinas / elektra,Hečbekas,Automatinė,"1.4 l., 111 kW",107 513 km
28,12 900 €,BMW,535,2011,Dyzelinas,Universalas,Automatinė,"3.0 l., 221 kW",292 000 km
29,12 999 €,BMW,X1,2015-07,Dyzelinas,Visureigis,Automatinė,"2.0 l., 105 kW",282 899 km
30,13 290 €,Volkswagen,Touran,2015-09,Dyzelinas,Vienatūris,Mechaninė,"1.6 l., 81 kW",135 000 km
31,13 900 €,Volkswagen,Passat,2014-12,Dyzelinas,Universalas,Automatinė,"2.0 l., 110 kW",222 000 km
32,14 200 €,Volkswagen,Multivan,2010-03,Dyzelinas,Vienatūris,Automatinė,"2.0 l., 132 kW",285 600 km
33,15 950 €,Volkswagen,Golf,2018-10,Benzinas,Hečbekas,Automatinė,"2.0 l., 162 kW",81 000 km
34,16 800 €,BMW,330,2018-03,Benzinas,Sedanas,Automatinė,"2.0 l., 185 kW",69 000 km
35,17 190 €,Opel,Insignia,2019-06,Dyzelinas,Hečbekas,Automatinė,"1.6 l., 100 kW",104 466 km
36,17 659 €,Volvo,S60,2017-09,Benzinas,Sedanas,Automatinė,"2.0 l., 180 kW",83 000 km
37,22 000 €,SsangYong,Korando,2021-08,Benzinas,Visureigis,Automatinė,"1.5 l., 120 kW",41 000 km
38,23 800 €,BMW,i3,2019,Benzinas / elektra,Hečbekas,Automatinė,"0.7 l., 125 kW",43 800 km
39,24 500 €,Toyota,Land Cruiser,2010-11,Dyzelinas,Visureigis,Automatinė,"4.5 l., 210 kW",380 000 km
40,28 900 €,Volkswagen,Multivan,2017-02,Dyzelinas,Keleivinis mikroautobusas,Mechaninė,"2.0 l., 110 kW",94 000 km
41,28 990 €,Toyota,Camry,2021-03,Benzinas / elektra,Sedanas,Automatinė,"2.5 l., 131 kW",50 330 km
42,30 000 €,BMW,X5,2014,Dyzelinas,Visureigis,Automatinė,"3.0 l., 280 kW",255 000 km
43,31 000 €,BMW,X6,2016-02,Benzinas,Visureigis,Automatinė,"3.5 l., 225 kW",142 000 km
44,35 000 €,Audi,S4,2019,Benzinas,Sedanas,Automatinė,"3.0 l., 260 kW",42 000 km
45,42 000 €,Mercedes-Benz,S350,2015-08,Dyzelinas,Limuzinas,Automatinė,"3.0 l., 190 kW",93 000 km
46,48 500 €,Toyota,Land Cruiser,2019-09,Dyzelinas,Visureigis,Automatinė,"2.8 l., 130 kW",82 000 km
47,49 900 €,Land,Rover Range Rover Velar,2018,Dyzelinas,Visureigis,Automatinė,"3.0 l.,",133 000 km
48,800 €,Peugeot,307,2001-11,Dyzelinas,Hečbekas,Mechaninė,"2.0 l., 80 kW",301 412 km
49,1 100 €,Toyota,Avensis,2004-12,Dyzelinas,Sedanas,Mechaninė,"2.0 l., 85 kW",263 324 km
50,2 200 €,Ford,Mondeo,2007,Dyzelinas,Universalas,Mechaninė,"2.0 l., 103 kW",349 800 km
51,2 300 €,Mazda,5,2007,Dyzelinas,Universalas,Mechaninė,"2.0 l., 81 kW",210 000 km
52,2 890 €,Volvo,S60,2005-04,Dyzelinas,Sedanas,Mechaninė,"2.4 l., 96 kW",330 000 km
53,3 300 €,Mini,One,2007-12,Benzinas,Hečbekas,Mechaninė,"1.4 l., 70 kW",157 083 km
54,3 490 €,BMW,320,2007-09,Dyzelinas,Universalas,Automatinė,"2.0 l., 120 kW",310 000 km
55,3 680 €,Volkswagen,Golf,2008,Dyzelinas,Universalas,Mechaninė,"1.9 l., 77 kW",213 498 km
56,4 200 €,Opel,Astra,2013-04,Dyzelinas,Universalas,Mechaninė,"1.7 l., 81 kW",313 000 km
57,4 400 €,Opel,Antara,2008-11,Dyzelinas,Visureigis,Automatinė,"2.0 l., 110 kW",348 348 km
58,5 650 €,Opel,Meriva,2014-07,Dyzelinas,Vienatūris,Mechaninė,"1.6 l., 100 kW",172 463 km
59,5 900 €,Mitsubishi,Space Star,2017-05,Benzinas,Hečbekas,Mechaninė,"1.0 l., 52 kW",77 500 km
60,7 100 €,Volkswagen,Touran,2010,Dyzelinas,Vienatūris,Automatinė,"0.2 l., 103 kW",310 000 km
61,7 700 €,Volkswagen,Golf,2010-10,Dyzelinas,Hečbekas,Mechaninė,"2.0 l., 125 kW",367 601 km
62,7 799 €,BMW,535,2006-06,Dyzelinas,Universalas,Automatinė,"3.0 l., 200 kW",294 000 km
63,7 900 €,Audi,A6,2011-01,Dyzelinas,Universalas,Automatinė,"2.7 l., 140 kW",235 000 km
64,8 490 €,Opel,Astra,2018-03,Dyzelinas,Hečbekas,Mechaninė,"1.6 l., 100 kW",209 873 km
65,8 500 €,Nissan,Pulsar,2015-07,Benzinas,Hečbekas,Automatinė,"1.2 l., 85 kW",123 000 km
66,8 900 €,Lexus,RX 400h,2006-05,Benzinas / elektra,Visureigis,Automatinė,"3.3 l., 200 kW",300 000 km
67,9 250 €,Skoda,Superb,2013-10,Dyzelinas,Universalas,Automatinė,"2.0 l., 125 kW",275 000 km
68,9 700 €,Mercedes-Benz,E220,2011-10,Dyzelinas,Kupė (Coupe),Automatinė,"2.1 l., 124 kW",228 000 km
69,9 890 €,Citroen,Grand C4 Picasso,2015-06,Benzinas,Vienatūris,Mechaninė,"1.2 l., 96 kW",209 383 km
70,10 300 €,Mercedes-Benz,E350,2010-05,Dyzelinas,Kupė (Coupe),Automatinė,"3.0 l., 170 kW",287 000 km
71,10 400 €,Volkswagen,Tiguan,2012-06,Dyzelinas,Visureigis,Mechaninė,"2.0 l., 103 kW",162 000 km
72,10 500 €,Peugeot,308,2016,Dyzelinas,Universalas,Automatinė,"1.6 l., 88 kW",174 400 km
73,10 999 €,BMW,320,2015-04,Dyzelinas,Universalas,Automatinė,"2.0 l., 135 kW",270 000 km
74,12 690 €,Citroen,Grand C4 Picasso,2017-05,Benzinas,Vienatūris,Automatinė,"1.6 l., 121 kW",226 963 km
75,13 350 €,Opel,Grandland X,2019-09,Benzinas,Visureigis,Mechaninė,"1.2 l., 96 kW",209 000 km
76,13 600 €,Volvo,V60 Cross Country,2015-05,Benzinas,Visureigis,Automatinė,"2.5 l., 187 kW",170 000 km
77,13 899 €,Volkswagen,Touareg,2013-08,Dyzelinas,Visureigis,Automatinė,"3.0 l.,",343 500 km
78,13 990 €,Hyundai,Kona,2018-08,Benzinas,Visureigis,Mechaninė,"1.0 l., 88 kW",124 602 km
79,13 999 €,Toyota,Avensis,2016-05,Benzinas,Universalas,Automatinė,"1.8 l., 108 kW",147 000 km
80,14 200 €,BMW,320 Gran turismo,2014-09,Dyzelinas,Hečbekas,Automatinė,"2.0 l., 135 kW",230 000 km
81,14 300 €,Volkswagen,Passat,2015-09,Dyzelinas,Universalas,Automatinė,"2.0 l., 110 kW",317 000 km
82,14 950 €,Audi,A8,2012-04,Dyzelinas,Sedanas,Automatinė,"3.0 l., 184 kW",310 000 km
83,15 000 €,Volkswagen,Golf,2018-02,"Elektra, 36 kWh",Hečbekas,Automatinė,100 kW,86 000 km
84,15 300 €,Audi,A6,2014,Dyzelinas,Universalas,Automatinė,"3.0 l., 180 kW",205 000 km
85,16 000 €,BMW,520 Gran turismo,2016-05,Dyzelinas,Hečbekas,Automatinė,"2.0 l., 140 kW",208 000 km
86,16 000 €,Volkswagen,Passat,2016-03,Benzinas,Sedanas,Automatinė,"1.4 l., 110 kW",204 000 km
87,16 200 €,Mercedes-Benz,C220,2014-05,Dyzelinas,Sedanas,Automatinė,"2.1 l., 125 kW",207 000 km
88,16 900 €,Volkswagen,Passat,2016-05,Benzinas / elektra,Universalas,Automatinė,"1.4 l., 160 kW",243 200 km
89,17 950 €,Mercedes-Benz,E350,2016-03,Dyzelinas,Sedanas,Automatinė,"3.0 l., 190 kW",241 000 km
90,21 300 €,BMW,330,2017-04,Benzinas / elektra,Sedanas,Automatinė,"2.0 l., 185 kW",206 784 km
91,21 950 €,Nissan,X-Trail,2019-10,Benzinas,Visureigis,Automatinė,"1.3 l., 117 kW",78 000 km
92,22 500 €,Volkswagen,T-Roc,2020-01,Benzinas,Visureigis,Automatinė,"1.5 l., 110 kW",117 555 km
93,22 700 €,Skoda,Superb,2019-07,Dyzelinas,Sedanas,Automatinė,"2.0 l., 110 kW",32 000 km
94,23 300 €,Mazda,6,2020-10,Benzinas,Sedanas,Automatinė,"2.0 l., 121 kW",95 000 km
95,23 750 €,Volkswagen,T-Roc,2021-08,Benzinas,Visureigis,Automatinė,"1.5 l., 110 kW",27 900 km
96,24 999 €,Jeep,Grand Cherokee,2017-05,Dyzelinas,Visureigis,Automatinė,"3.0 l., 184 kW",85 000 km
97,29 500 €,Skoda,Kamiq,2021-06,Benzinas,Visureigis,Automatinė,"1.5 l., 110 kW",12 000 km
98,29 900 €,BMW,X5,2015-05,Dyzelinas,Visureigis,Automatinė,"3.0 l., 280 kW",300 000 km
99,33 500 €,Volkswagen,ID.3,2020,"Elektra, 58 kWh",Hečbekas,Automatinė,150 kW,15 000 km
100,34 000 €,Toyota,Land Cruiser,2012-03,Dyzelinas,Visureigis,Automatinė,"4.5 l., 200 kW",169 000 km
101,35 500 €,Volkswagen,Touareg,2019-03,Dyzelinas,Visureigis,Automatinė,"3.0 l., 170 kW",241 000 km
102,38 900 €,BMW,X5,2015-03,Dyzelinas,Visureigis,Automatinė,"3.0 l., 280 kW",180 000 km
103,47 000 €,Mercedes-Benz,C63 AMG,2017,Benzinas,Sedanas,Automatinė,"4.0 l., 375 kW",87 000 km
104,79 000 €,BMW,X6,2020-06,Benzinas,Visureigis,Automatinė,"4.4 l., 390 kW",16 000 km
105,135 000 €,Porsche,911,2020-01,Benzinas,Kupė (Coupe),Automatinė,"3.0 l., 331 kW",23 000 km
106,250 €,Renault,Scenic,2000-06,Dyzelinas,Vienatūris,Mechaninė,"1.9 l., 72 kW",260 000 km
107,290 €,Hyundai,Elantra,2004,Dyzelinas,Hečbekas,Mechaninė,"2.0 l., 83 kW",201 400 km
108,450 €,Volkswagen,Sharan,1996,Dyzelinas,Vienatūris,Mechaninė,"1.7 l., 66 kW",99 999 km
109,499 €,BMW,320,2000,Dyzelinas,Sedanas,Mechaninė,"2.0 l., 100 kW",300 000 km
110,600 €,Volkswagen,Transporter,1994,Dyzelinas,Krovininis mikroautobusas,Mechaninė,"2.4 l., 57 kW",415 000 km
111,1 200 €,Audi,A6,1997-10,Dyzelinas,Sedanas,Mechaninė,"1.9 l., 81 kW",Šiauliai
112,1 250 €,Mazda,5,2010,Benzinas,Kita,Automatinė,"2.3 l., 113 kW",145 000 km
113,1 250 €,Saab,9-3,2006-05,Dyzelinas,Sedanas,Automatinė,"1.9 l., 110 kW",250 000 km
114,1 300 €,Opel,Zafira,2005-03,Dyzelinas,Vienatūris,Mechaninė,"2.2 l., 92 kW",249 000 km
115,1 450 €,Opel,Astra,2005-04,Dyzelinas,Universalas,Mechaninė,"1.9 l., 110 kW",380 000 km
116,1 450 €,Peugeot,307,2007-03,Dyzelinas,Universalas,Mechaninė,"1.6 l., 66 kW",295 996 km
117,1 500 €,Audi,A4,2000-05,Dyzelinas,Sedanas,Mechaninė,"1.9 l., 85 kW",313 206 km
118,1 500 €,Mazda,Demio,1999,Benzinas,Universalas,Mechaninė,"1.3 l., 53 kW",109 000 km
119,1 700 €,Volkswagen,Transporter,1994,Dyzelinas,Krovininis mikroautobusas,Mechaninė,"2.4 l., 57 kW",455 000 km
120,1 750 €,BMW,530,2001,Dyzelinas,Sedanas,Mechaninė,"2.9 l., 142 kW",230 586 km
121,1 750 €,Nissan,Almera Tino,2002-08,Benzinas,Vienatūris,Automatinė,"2.0 l., 99 kW",180 000 km
122,1 800 €,Audi,A3,2003-12,Dyzelinas,Hečbekas,Mechaninė,"1.9 l., 77 kW",344 268 km
123,1 800 €,Audi,A4,2005-01,Benzinas,Sedanas,Automatinė,"1.8 l., 125 kW",350 000 km
124,1 900 €,Saab,9-3,2007-10,Dyzelinas,Sedanas,Mechaninė,"1.9 l., 88 kW",350 000 km
125,2 000 €,Volkswagen,Golf,2006-11,Dyzelinas,Hečbekas,Mechaninė,"2.0 l., 55 kW",343 000 km
126,2 150 €,SsangYong,Rexton,2006-07,Dyzelinas,Visureigis,Automatinė,"2.7 l., 137 kW",268 000 km
127,2 250 €,Volvo,S40,2006-12,Dyzelinas,Sedanas,Mechaninė,"1.6 l., 80 kW",250 530 km
128,2 400 €,BMW,320,2007-04,Dyzelinas,Universalas,Mechaninė,"2.0 l., 120 kW",4 km
129,2 450 €,Honda,Civic,2003-11,Benzinas,Hečbekas,Automatinė,"1.4 l., 66 kW",234 000 km
130,2 500 €,Volkswagen,Golf Plus,2007-03,Dyzelinas,Hečbekas,Mechaninė,"2.0 l., 103 kW",268 000 km
131,2 599 €,Citroen,C4,2008-07,Benzinas,Kupė (Coupe),Automatinė,"1.6 l., 80 kW",143 000 km
132,2 600 €,Volkswagen,Passat,2008-12,Dyzelinas,Universalas,Mechaninė,"2.0 l., 103 kW",320 654 km
133,2 850 €,Skoda,Octavia,2011-11,Dyzelinas,Sedanas,Mechaninė,"1.6 l., 77 kW",301 000 km
134,2 999 €,Volkswagen,Touran,2006-11,Dyzelinas,Vienatūris,Mechaninė,"1.9 l., 77 kW",281 810 km
135,2 999 €,Volkswagen,Touran,2004-11,Dyzelinas,Vienatūris,Mechaninė,"2.0 l., 103 kW",361 667 km
136,3 100 €,Mercedes-Benz,E280,2007-06,Dyzelinas,Universalas,Automatinė,"3.0 l., 140 kW",270 650 km
137,3 100 €,Toyota,Corolla Verso,2006-03,Dyzelinas,Vienatūris,Mechaninė,"2.0 l., 85 kW",205 120 km
138,3 200 €,Honda,Civic,2006-01,Benzinas / dujos,Hečbekas,Mechaninė,"1.3 l., 61 kW",214 600 km
139,3 200 €,Toyota,Avensis,2006-12,Benzinas,Sedanas,Automatinė,"2.0 l., 108 kW",270 000 km
140,3 200 €,Opel,Zafira,2008,Benzinas / dujos,Vienatūris,Mechaninė,"1.6 l.,",205 000 km
141,3 300 €,Mitsubishi,Lancer,2011,Dyzelinas,Hečbekas,Mechaninė,"1.8 l., 110 kW",366 000 km
142,3 300 €,Opel,Meriva,2012-06,Dyzelinas,Hečbekas,Mechaninė,"1.7 l., 81 kW",300 000 km
143,3 350 €,Toyota,Avensis,2009-04,Dyzelinas,Universalas,Mechaninė,"2.0 l., 93 kW",247 000 km
144,3 499 €,BMW,320,2007,Benzinas,Universalas,Automatinė,"2.0 l., 125 kW",228 139 km
145,3 500 €,Mercedes-Benz,E280,2006-02,Dyzelinas,Universalas,Automatinė,"3.0 l., 140 kW",360 698 km
146,3 500 €,Kia,Sorento,2007-02,Dyzelinas,Visureigis,Automatinė,"2.5 l., 103 kW",162 000 km
147,3 550 €,Volkswagen,Polo,2011-08,Dyzelinas,Hečbekas,Mechaninė,"1.2 l., 55 kW",180 000 km
148,3 599 €,BMW,X5,2002-03,Dyzelinas,Visureigis,Automatinė,"2.9 l., 135 kW",300 000 km
149,3 600 €,Volkswagen,Passat,2007-10,Dyzelinas,Universalas,Automatinė,"2.0 l., 125 kW",294 602 km
150,3 600 €,Volkswagen,Golf,2010-12,Dyzelinas,Hečbekas,Mechaninė,"1.6 l., 77 kW",273 000 km
151,3 630 €,Peugeot,Partner,2014-11,Dyzelinas,Komercinis,Mechaninė,"1.6 l., 66 kW",200 300 km
152,3 699 €,BMW,530,2002,Dyzelinas,Universalas,Automatinė,"2.9 l., 142 kW",408 000 km
153,3 700 €,Audi,A6,2007-07,Dyzelinas,Universalas,Automatinė,"3.0 l., 171 kW",360 000 km
154,3 800 €,Volkswagen,Scirocco,2009,Benzinas,Kupė (Coupe),Mechaninė,"1.4 l., 118 kW",338 000 km
155,3 850 €,Mercedes-Benz,E240,2002-11,Benzinas,Sedanas,Automatinė,"2.6 l., 130 kW",149 795 km
156,3 850 €,Volkswagen,Golf Plus,2006-11,Dyzelinas,Hečbekas,Automatinė,"2.0 l., 103 kW",274 084 km
157,3 900 €,Volkswagen,Phaeton,2008-05,Dyzelinas,Sedanas,Automatinė,"3.0 l., 173 kW",285 000 km
158,3 950 €,Toyota,Auris,2008-09,Benzinas,Hečbekas,Automatinė,"1.6 l., 91 kW",223 000 km
159,4 000 €,Hyundai,Santa Fe,2006-11,Dyzelinas,Visureigis,Automatinė,"2.2 l., 111 kW",279 500 km
160,4 150 €,BMW,116,2010-07,Dyzelinas,Hečbekas,Mechaninė,"2.0 l., 85 kW",206 000 km
161,4 300 €,Renault,Koleos,2008-07,Dyzelinas,Visureigis,Mechaninė,"2.0 l., 110 kW",227 000 km
162,4 300 €,Nissan,Qashqai,2008,Dyzelinas,Visureigis,Mechaninė,"2.0 l., 110 kW",288 500 km
163,4 300 €,Volkswagen,Golf,2009-08,Dyzelinas,Hečbekas,Mechaninė,"2.0 l., 103 kW",410 000 km
164,4 450 €,Honda,CR-V,2009-08,Dyzelinas,Visureigis,Mechaninė,"2.2 l., 103 kW",290 864 km
165,4 550 €,Volkswagen,Touran,2010-12,Benzinas,Vienatūris,Mechaninė,"1.2 l., 77 kW",270 000 km
166,4 750 €,Audi,A6,2008-04,Dyzelinas,Universalas,Automatinė,"2.7 l., 132 kW",304 000 km
167,4 999 €,Audi,A6,2008-10,Dyzelinas,Universalas,Automatinė,"3.0 l., 171 kW",360 000 km
168,5 300 €,Volkswagen,Golf,2008-12,Dyzelinas,Sedanas,Mechaninė,"2.0 l., 81 kW",259 500 km
169,5 500 €,Peugeot,508,2013,Dyzelinas,Sedanas,Automatinė,"1.6 l., 82 kW",255 000 km
170,5 550 €,Honda,Accord,2008-07,Benzinas,Sedanas,Automatinė,"2.0 l., 114 kW",167 500 km
171,5 650 €,Toyota,Avensis,2010-12,Dyzelinas,Universalas,Mechaninė,"2.0 l., 93 kW",267 000 km
172,5 675 €,Volkswagen,Golf,2010,Dyzelinas,Hečbekas,Mechaninė,"1.6 l., 77 kW",253 193 km
173,5 700 €,Ford,S-MAX,2011-06,Dyzelinas,Vienatūris,Automatinė,"2.0 l., 103 kW",320 000 km
174,5 850 €,BMW,525,1993-04,Benzinas,Sedanas,Mechaninė,"2.5 l., 141 kW",319 000 km
175,5 900 €,BMW,X3,2007-09,Dyzelinas,Visureigis,Automatinė,"2.0 l., 130 kW",218 500 km
176,5 950 €,Renault,Talisman,2016-09,Dyzelinas,Sedanas,Automatinė,"1.6 l., 96 kW",305 600 km
177,5 950 €,BMW,320,2008-07,Dyzelinas,Sedanas,Automatinė,"2.0 l., 130 kW",265 000 km
178,5 999 €,Citroen,Grand C4 Picasso,2014,Dyzelinas,Vienatūris,Automatinė,"1.6 l., 85 kW",315 000 km
179,6 000 €,Volkswagen,Golf,2010-07,Benzinas,Hečbekas,Mechaninė,"1.4 l., 118 kW",245 000 km
180,6 000 €,Toyota,Verso,2009,Dyzelinas,Vienatūris,Automatinė,"2.2 l., 110 kW",235 300 km
181,6 100 €,Volvo,V40,2014-06,Dyzelinas,Hečbekas,Mechaninė,"1.6 l., 84 kW",142 700 km
182,6 100 €,Toyota,Prius,2007-12,Benzinas / elektra,Hečbekas,Automatinė,"1.5 l., 57 kW",189 000 km
183,6 399 €,BMW,320,2011-05,Dyzelinas,Universalas,Automatinė,"2.0 l., 135 kW",171 600 km
184,6 750 €,Toyota,Prius,2006-10,Benzinas / elektra / dujos,Hečbekas,Automatinė,"1.5 l., 57 kW",235 000 km
185,6 799 €,Toyota,Avensis,2013-10,Dyzelinas,Universalas,Mechaninė,"2.2 l., 110 kW",304 739 km
186,6 800 €,Jeep,Grand Cherokee,2008,Benzinas,Visureigis,Automatinė,"3.7 l., 148 kW",175 000 km
187,6 850 €,Audi,A3,2009-11,Dyzelinas,Hečbekas,Automatinė,"2.0 l., 103 kW",267 241 km
188,7 000 €,Volkswagen,CC,2010-11,Benzinas,Sedanas,Automatinė,"2.0 l., 147 kW",225 000 km
189,7 000 €,Mercedes-Benz,C180,2008-12,Benzinas,Sedanas,Automatinė,"1.8 l., 115 kW",214 000 km
190,7 200 €,Volkswagen,Transporter,2006-05,Dyzelinas,Keleivinis mikroautobusas,Mechaninė,"1.9 l., 75 kW",315 000 km
191,7 350 €,Volkswagen,Passat,2011-06,Dyzelinas,Universalas,Mechaninė,"1.6 l., 77 kW",163 000 km
192,7 399 €,Subaru,Outback,2013,Dyzelinas,Visureigis,Mechaninė,"2.0 l., 110 kW",235 026 km
193,7 400 €,Renault,Grand Scenic,2015-12,Dyzelinas,Vienatūris,Automatinė,"1.5 l., 81 kW",233 933 km
194,7 500 €,Chevrolet,Sonic,2017,Benzinas,Sedanas,Automatinė,"1.8 l., 103 kW",108 000 km
195,7 500 €,Volkswagen,Golf,2013-12,Benzinas,Hečbekas,Automatinė,"1.2 l., 77 kW",Vilnius
196,7 700 €,Honda,Jazz,2015-05,Benzinas,Hečbekas,Automatinė,"1.5 l., 95 kW",87 000 km
197,7 999 €,BMW,328,2014-03,Benzinas,Sedanas,Automatinė,"2.0 l., 180 kW",220 000 km
198,8 450 €,Audi,A6,2010-04,Dyzelinas,Universalas,Automatinė,"2.7 l., 140 kW",186 000 km
199,8 450 €,Volkswagen,Passat Alltrack,2012-12,Dyzelinas,Universalas,Automatinė,"2.0 l., 125 kW",255 000 km
200,8 500 €,Volvo,S60,2011-03,Dyzelinas,Sedanas,Mechaninė,"2.0 l., 120 kW",221 010 km
201,8 500 €,Mazda,MX-5,2009-02,Benzinas,Kabrioletas,Mechaninė,"1.8 l., 93 kW",168 300 km
202,8 500 €,Mercedes-Benz,C180,2012-05,Benzinas,Sedanas,Automatinė,"1.8 l., 115 kW",198 355 km
203,8 650 €,Toyota,Prius,2011,Benzinas / elektra,Hečbekas,Automatinė,73 kW,176 000 km
204,8 700 €,BMW,X5,2007-10,Dyzelinas,Visureigis,Automatinė,"3.0 l., 173 kW",388 000 km
205,8 750 €,Audi,A6 ALLROAD,2010-02,Dyzelinas,Universalas,Automatinė,"3.0 l., 177 kW",249 000 km
206,8 800 €,Chevrolet,Sonic,2020,Benzinas,Sedanas,Automatinė,"1.4 l., 103 kW",50 000 km
207,8 900 €,Volkswagen,Jetta,2017,Benzinas,Sedanas,Mechaninė,"1.4 l., 110 kW",60 000 km
208,9 300 €,Infiniti,M30,2011-05,Dyzelinas,Sedanas,Automatinė,"3.0 l., 175 kW",179 000 km
209,9 500 €,Volvo,C70,2012-01,Benzinas,Kabrioletas,Automatinė,"2.5 l., 169 kW",140 000 km
210,9 599 €,BMW,X5,2007-04,Dyzelinas,Visureigis,Automatinė,"3.0 l., 173 kW",289 543 km
211,9 850 €,Mitsubishi,Outlander,2013-11,Dyzelinas,Visureigis,Automatinė,"2.2 l., 110 kW",193 000 km
212,10 200 €,Honda,CR-V,2011-09,Dyzelinas,Visureigis,Automatinė,"2.2 l., 110 kW",191 000 km
213,10 500 €,Mercedes-Benz,A200,2017-01,Dyzelinas,Hečbekas,Automatinė,"2.1 l., 100 kW",141 768 km
214,10 700 €,Opel,Mokka,2014-07,Dyzelinas,Visureigis,Automatinė,"1.7 l., 96 kW",156 000 km
215,10 900 €,Audi,A6,2012,Dyzelinas,Universalas,Automatinė,"3.0 l., 180 kW",302 383 km
216,10 900 €,Mercedes-Benz,E350,2010-04,Dyzelinas,Universalas,Automatinė,"3.0 l., 170 kW",234 000 km
217,10 999 €,BMW,318 Gran turismo,2013-12,Dyzelinas,Hečbekas,Automatinė,"2.0 l., 105 kW",296 849 km
218,11 000 €,Volvo,XC60,2008-12,Benzinas / dujos,Visureigis,Automatinė,"3.0 l., 210 kW",385 000 km
219,11 090 €,Ford,Mondeo,2017-08,Dyzelinas,Hečbekas,Mechaninė,"1.5 l., 88 kW",220 259 km
220,11 250 €,BMW,535,2011,Dyzelinas,Universalas,Automatinė,"3.0 l., 220 kW",267 400 km
221,11 450 €,Kia,Optima,2015-10,Dyzelinas,Sedanas,Automatinė,"1.7 l., 100 kW",140 808 km
222,11 650 €,Jeep,Grand Cherokee,2012-10,Dyzelinas,Visureigis,Automatinė,"3.0 l., 177 kW",252 000 km
223,11 900 €,Volkswagen,Tiguan,2015,Dyzelinas,Visureigis,Mechaninė,"2.0 l., 103 kW",203 000 km
224,12 290 €,Ford,Mondeo,2016-10,Dyzelinas,Hečbekas,Mechaninė,"1.5 l., 88 kW",118 225 km
225,12 300 €,Audi,A6 ALLROAD,2014-02,Dyzelinas,Universalas,Automatinė,"3.0 l., 180 kW",383 600 km
