,Kaina,Markė,Modelis,Metai,Kuro tipas,"Darbinis tūris, l.","Galia, kW",Rida,Kėbulo tipas,Pavarų dėžė,Defektai,Vairo padėtis,Durų skaičius
49,950,Audi,A4,1997,,1.9,66,,Sedanas,Automatinė,Be defektų,Kairėje,
50,1300,BMW,320,2002,Dyzelinas,2.0,110,266128,Sedanas,Mechaninė,Be defektų,Kairėje,4/5
51,680,Ford,Focus,2000,Dyzelinas,1.8,66,230000,Hečbekas,Mechaninė,Be defektų,Kairėje,4/5
52,1899,Volkswagen,Touran,2007,Dyzelinas,1.9,77,324400,Universalas,Mechaninė,Be defektų,Kairėje,4/5
53,1850,Volkswagen,Touran,2006,Dyzelinas,1.9,77,,Vienatūris,Automatinė,Be defektų,Kairėje,4/5
54,59900,Audi,A8,2019,,3.0,210,68214,Sedanas,Automatinė,Be defektų,Kairėje,4/5
55,800,Mercedes Benz,A170,2002,Dyzelinas,1.7,70,,Hečbekas,Automatinė,Be defektų,Kairėje,4/5
56,150,Volkswagen,Passat,1994,Dyzelinas,1.9,66,300000,Sedanas,Mechaninė,Smulkūs kėbulo defektai,Kairėje,4/5
57,2950,Toyota,Avensis,2006,Dyzelinas,2.0,85,354000,Universalas,Mechaninė,Be defektų,Kairėje,4/5
58,5900,Volvo,C30,2012,Dyzelinas,1.6,84,252000,Hečbekas,Mechaninė,Be defektų,Kairėje,4/5
59,3950,Toyota,Yaris,2006,Benzinas,1.3,64,227000,Hečbekas,Automatinė,Be defektų,Kairėje,4/5
60,5900,Volvo,C30,2012,Dyzelinas,1.6,84,252000,Hečbekas,Mechaninė,Be defektų,Kairėje,4/5
61,2950,Toyota,Avensis,2006,Dyzelinas,2.0,85,354000,Universalas,Mechaninė,Be defektų,Kairėje,4/5
62,2900,BMW,Active Hybrid 7,2011,Benzinas/Elektra,4.4,339,185000,Sedanas,Automatinė,Be defektų,Kairėje,4/5
63,5100,BMW,525,2008,Dyzelinas,3.0,145,198000,Sedanas,Automatinė,Smulkūs kėbulo defektai,Kairėje,4/5
64,1550,Chevrolet,Blazer,1994,Dyzelinas,6.5,,,Visureigis,Automatinė,Be defektų,Kairėje,
65,4950,Citroen,C5,2012,Dyzelinas,2.0,120,303500,Universalas,Automatinė,Be defektų,Kairėje,4/5
66,1500,Chrysler,Grand Voyager,1995,Benzinas/Dujos,3.3,,,Minivenas,Automatinė,Be defektų,Kairėje,4/5
67,5600,Volkswagen,Passat CC,2010,Dyzelinas,2.0,125,306000,Kupė/Sportas,Automatinė,Be defektų,Kairėje,4/5
68,9500,Audi,Q5,2010,Dyzelinas,2.0,125,307000,Visureigis,Automatinė,Be defektų,Kairėje,4/5
69,800,Peugeot,Partner,2007,Dyzelinas,1.6,66,,Vienatūris,Automatinė,Be defektų,Kairėje,
70,1750,BMW,525,2003,Dyzelinas,2.5,120,234760,Universalas,Automatinė,Be defektų,Kairėje,4/5
71,7000,Moskvich,401,1950,Benzinas,1.0,,,Hečbekas,Mechaninė,Be defektų,Kairėje,4/5
72,13450,Volkswagen,Golf,2023,Dyzelinas,1.6,85,162201,Universalas,Automatinė,Be defektų,Kairėje,4/5
73,799,Peugeot,Partner,2005,Dyzelinas,1.9,51,280000,Vienatūris,Mechaninė,Be defektų,Kairėje,4/5
74,13500,Nissan,Qashqai,2017,Benzinas,1.2,116,81800,Visureigis,Automatinė,Be defektų,Kairėje,4/5
75,3300,Peugeot,308,2008,Dyzelinas,2.0,100,259000,Universalas,Mechaninė,Be defektų,Kairėje,
76,4100,Mercedes Benz,Vito,2006,Dyzelinas,2.2,,,Minivenas,Automatinė,Be defektų,Kairėje,Kita
77,9799,BMW,216 Active Tourer,2015,Dyzelinas,1.5,85,173000,Vienatūris,Mechaninė,Be defektų,Kairėje,4/5
78,2600,Citroen,C8,2008,Dyzelinas,2.0,88,303123,Vienatūris,Mechaninė,Be defektų,Kairėje,4/5
79,12690,Volvo,XC60,2013,Dyzelinas,2.0,120,,Visureigis,Automatinė,Be defektų,Kairėje,4/5
80,8690,Volkswagen,Passat,2013,Dyzelinas,2.0,103,232000,Universalas,Mechaninė,Be defektų,Kairėje,4/5
81,7777,Opel,Zafira tourer,2013,Dyzelinas,1.6,100,213000,Vienatūris,Mechaninė,Be defektų,Kairėje,4/5
82,500,Ford,Focus,2005,Dyzelinas,1.8,85,278378,Hečbekas,Mechaninė,Be defektų,Kairėje,4/5
83,2600,Audi,A6,2008,Dyzelinas,2.7,132,,Universalas,Automatinė,Be defektų,Dešinėje,4/5
84,1500,Audi,A6,2001,Dyzelinas,1.9,85,,Universalas,Mechaninė,,,
85,1150,Renault,Scenic,2005,Dyzelinas,1.9,85,,Vienatūris,Mechaninė,Be defektų,Kairėje,4/5
86,600,Volkswagen,Passat,1999,Dyzelinas,1.9,85,323,Universalas,Mechaninė,Be defektų,Kairėje,4/5
87,370,Audi,80,1989,Benzinas,1.8,66,,Sedanas,Mechaninė,Be defektų,Kairėje,
88,4799,Honda,Accord,2010,Benzinas,2.0,115,219000,Sedanas,Automatinė,Be defektų,Kairėje,4/5
89,2799,Audi,A4,2005,Benzinas,2.0,96,209000,Sedanas,Automatinė,Be defektų,Kairėje,4/5
90,1799,Toyota,Avensis,2005,Benzinas,2.0,108,187000,Sedanas,Automatinė,Be defektų,Kairėje,4/5
91,3999,Peugeot,Boxer,2012,Dyzelinas,2.2,110,451000,Komercinis,Mechaninė,Be defektų,Kairėje,4/5
92,2299,Mercedes Benz,S350,1995,Dyzelinas,3.4,110,428000,Sedanas,Automatinė,Be defektų,Kairėje,4/5
93,4100,Mercedes Benz,E300,2008,Dyzelinas,3.0,140,250000,Sedanas,Mechaninė,Be defektų,Kairėje,4/5
94,3499,Mazda,6,2008,Benzinas,2.0,108,247000,Sedanas,Automatinė,Be defektų,Kairėje,4/5
95,3799,Opel,Insignia,2009,Dyzelinas,2.0,96,320000,Sedanas,Automatinė,Be defektų,Kairėje,4/5
96,1399,Mercedes Benz,Vaneo,2002,Benzinas,1.6,75,287000,Vienatūris,Mechaninė,Be defektų,Kairėje,4/5
97,1299,Volvo,S40,2001,Benzinas,1.8,90,215000,Sedanas,Automatinė,Be defektų,Kairėje,4/5
98,2799,Ford,Focus,2009,Benzinas,1.6,74,103000,Hečbekas,Mechaninė,Be defektų,Kairėje,4/5
99,2199,Honda,Civic,2006,Benzinas,1.8,103,195000,Sedanas,Mechaninė,Be defektų,Kairėje,4/5
100,6499,Audi,Q7,2008,Dyzelinas,3.0,176,349000,Visureigis,Automatinė,Be defektų,Kairėje,4/5
101,1199,Volvo,S60,2004,Dyzelinas,2.4,96,315000,Sedanas,Automatinė,Be defektų,Kairėje,4/5
102,750,BMW,523,1999,Benzinas/Dujos,2.3,125,279800,Sedanas,Mechaninė,Be defektų,Kairėje,4/5
103,1799,Volkswagen,Polo,2008,Benzinas,1.2,51,153000,Hečbekas,Mechaninė,Be defektų,Kairėje,4/5
104,1000,Audi,100,1992,Dyzelinas,2.5,85,522000,Universalas,Mechaninė,Be defektų,Kairėje,4/5
105,4150,Suzuki,Jimny,2007,Benzinas,1.3,63,199463,Visureigis,Mechaninė,,Kairėje,2/3
106,850,Skoda,Octavia,2007,Dyzelinas,1.9,77,,Hečbekas,Mechaninė,,Kairėje,4/5
107,2550,Lada,Niva,2014,Benzinas,1.7,61,113089,Visureigis,Mechaninė,,Kairėje,2/3
108,1050,Mitsubishi,Lancer,2006,Benzinas/Dujos,1.6,72,331085,Universalas,Mechaninė,,Kairėje,4/5
109,1850,Subaru,Forester,2006,Benzinas/Dujos,2.0,116,448683,Visureigis,Automatinė,,Kairėje,4/5
110,4590,Skoda,Rapid,2013,Dyzelinas,1.6,77,250046,Hečbekas,Mechaninė,Be defektų,Kairėje,4/5
111,3499,Mazda,2,2008,Benzinas,1.3,55,74000,Hečbekas,Mechaninė,Be defektų,Kairėje,4/5
112,4799,Jeep,Patriot,2010,Dyzelinas,2.0,103,179000,Visureigis,Mechaninė,Be defektų,Kairėje,4/5
113,1999,Chrysler,Grand Voyager,2007,Dyzelinas,2.8,110,318000,Vienatūris,Automatinė,Be defektų,Kairėje,4/5
114,3199,Opel,Insignia,2009,Dyzelinas,2.0,96,353000,Universalas,Automatinė,Be defektų,Kairėje,4/5
115,1799,Volkswagen,Touran,2004,Benzinas,1.6,75,255000,Vienatūris,Mechaninė,Be defektų,Kairėje,4/5
116,4650,Volvo,V70,2010,Dyzelinas,1.6,80,,Universalas,Mechaninė,Be defektų,Kairėje,4/5
117,5950,Skoda,Octavia,2013,Dyzelinas,1.6,77,430000,Hečbekas,Mechaninė,Be defektų,Kairėje,4/5
118,10000,Peugeot,3008,2015,Dyzelinas,1.6,,177000,SUV,Automatinė,Be defektų,Kairėje,4/5
119,9500,BMW,X5,2007,Dyzelinas,3.0,173,272953,Visureigis,Automatinė,Be defektų,Kairėje,
120,21600,Chevrolet,Volt,2018,Benzinas/Elektra,1.5,111,58450,Hečbekas,Automatinė,Be defektų,Kairėje,4/5
121,700,BMW,316,2002,Benzinas/Dujos,1.8,85,215000,Hečbekas,Mechaninė,,Kairėje,
122,4500,BMW,328,2015,Benzinas,2.8,180,,Sedanas,Automatinė,,Kairėje,
123,3800,Volkswagen,Caddy,2007,Dyzelinas,1.9,55,,Vienatūris,Mechaninė,Be defektų,Kairėje,2/3
124,4100,Volvo,S40,2008,Dyzelinas,1.6,81,,Sedanas,Mechaninė,Be defektų,Kairėje,4/5
125,2000,Dodge,Caliber,2007,Dyzelinas,2.0,103,251600,Hečbekas,Mechaninė,Be defektų,Kairėje,4/5
126,7800,Audi,A1,2012,Benzinas,1.2,63,131000,Hečbekas,Mechaninė,Be defektų,Kairėje,4/5
127,14500,Toyota,Auris,2017,Benzinas,1.6,97,84000,Universalas,Automatinė,Be defektų,Kairėje,4/5
128,1980,Chrysler,Voyager,2001,Dyzelinas,2.5,104,174598,Vienatūris,Mechaninė,Smulkūs kėbulo defektai,Kairėje,4/5
129,7100,Volkswagen,Passat,2011,Dyzelinas,2.0,,,Universalas,Automatinė,,,
130,12500,Mitsubishi,Outlander,2015,Dyzelinas,2.3,110,287000,Visureigis,Automatinė,Be defektų,Kairėje,4/5
131,10000,Toyota,Prius,2012,Benzinas/Elektra,1.8,73,215000,Hečbekas,Automatinė,Be defektų,Kairėje,4/5
132,4500,Audi,A6,2006,Benzinas,2.4,130,312000,Universalas,Mechaninė,Be defektų,Kairėje,4/5
133,14500,BMW,525,2011,Dyzelinas,3.0,150,231000,Sedanas,Automatinė,Be defektų,Kairėje,4/5
134,1999,Volvo,V50,2005,Benzinas,1.6,74,,Universalas,Mechaninė,Be defektų,Kairėje,4/5
135,1100,Peugeot,607,2001,Benzinas,2.2,120,350.000,Sedanas,Mechaninė,Smulkūs kėbulo defektai,Kairėje,4/5
136,2499,Skoda,Octavia,2008,Dyzelinas,1.9,77,400.000,Universalas,Automatinė,Be defektų,Kairėje,4/5
137,3500,Audi,A3,2006,Dyzelinas,1.9,,,Hečbekas,Mechaninė,,,
138,800,Mitsubishi,Colt,2007,Benzinas/Dujos,1.3,,,Hečbekas,Mechaninė,,,
139,5500,Opel,Senator,1987,Benzinas,3.0,,191245,Sedanas,Automatinė,Be defektų,Kairėje,4/5
140,5800,Volkswagen,Golf,2012,Dyzelinas,2.0,103,241345,Hečbekas,Mechaninė,Be defektų,Kairėje,4/5
141,680,Mazda,6,2005,Benzinas/Dujos,2.0,108,,Sedanas,Mechaninė,Be defektų,Kairėje,4/5
142,2000,Volkswagen,Golf,2004,Dyzelinas,2.0,103,,Sedanas,Automatinė,Be defektų,Kairėje,
143,550,Renault,Kangoo,2003,Dyzelinas,1.9,47,,Hečbekas,Mechaninė,Be defektų,Kairėje,
144,480,Audi,A4,1997,Benzinas,1.8,92,,Universalas,Mechaninė,Be defektų,Kairėje,
145,720,Audi,A6,1999,Dyzelinas,2.4,121,,Sedanas,Mechaninė,Smulkūs kėbulo defektai,Kairėje,
146,11500,Audi,Quattro,2009,Benzinas,2.0,147,94600,Kupė/Sportas,Automatinė,Be defektų,Kairėje,4/5
147,2900,Citroen,C5,2009,Dyzelinas,2.0,103,299406,Sedanas,Mechaninė,Be defektų,Kairėje,4/5
148,6400,Toyota,Prius,2007,Benzinas/Elektra,1.5,57,213123,Hečbekas,Automatinė,Be defektų,Kairėje,4/5
149,33500,BMW,GT 330,2020,Benzinas,2.0,190,38290,Sedanas,Automatinė,Be defektų,Kairėje,4/5
